Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
3956,75.0,district_heating,0,0,40.0,920.0,1915.0,109239616,0,0,790.0,51.27,refurbished,2,0,apartment,2.0,1.0,5.0,0,Charlottenburg_Charlottenburg,55.0,0,"Wundtstraße 7A, 14059 Berlin, Germany",below_average
3957,199.0,district_heating,0,1,40.0,948.0,1997.0,113369377,0,0,749.0,72.51,well_kept,2,0,ground_floor,3.0,0.0,18.0,0,Karow_Weißensee,66.0,0,"Pfannschmitdtstr. 37, 13125 Berlin, Germany",below_average
3958,75.0,central_heating,0,0,40.0,768.6,1900.0,114669328,1,1,633.6,70.4,first_time_use,2,0,ground_floor,2.0,3.0,2.0,0,Köpenick_Köpenick,60.0,0,"Glienicker Straße 65, 12557 Berlin, Germany",below_average
3959,174.04,floor_heating,1,1,40.0,1610.11,2019.0,110881324,1,1,1360.69,79.11,first_time_use,3,1,apartment,2.0,1.0,6.0,0,Schöneberg_Schöneberg,75.4,0,"Belziger Str. 33, 10823 Berlin, Germany",above_average
3960,127.0,central_heating,0,1,40.0,881.64,1940.0,106975244,0,0,658.64,69.33,first_time_use,2,0,apartment,3.0,1.0,3.0,0,Friedrichsfelde_Lichtenberg,96.0,0,"Marie-Curie-Allee 94, 10315 Berlin, Germany",below_average
3961,180.0,district_heating,0,0,40.0,1180.0,1980.0,111219881,1,1,1000.0,45.0,fully_renovated,2,1,apartment,2.0,6.0,10.0,0,Mitte_Mitte,70.3,0,"Wadzeckstr 12, 10178 Berlin, Germany",below_average
3962,167.5,central_heating,1,1,40.0,958.05,2018.0,109485055,0,0,720.25,66.86,first_time_use,2,1,roof_storey,2.0,1.0,4.0,0,Spandau_Spandau,70.3,0,"Mertensstraße 16A, 13587 Berlin, Germany",below_average
3963,140.0,district_heating,0,1,40.0,480.42,1953.0,115700107,0,0,340.42,40.72,first_time_use,2,0,apartment,2.0,2.0,5.0,0,Haselhorst_Spandau,58.0,0,"Burscheider Weg 18, 13599 Berlin, Germany",below_average
3964,92.91,district_heating,0,1,40.0,427.12,1971.0,113468392,0,0,334.21,30.49,modernized,2,1,apartment,1.0,5.0,1.0,0,Buckow_Neukölln,22.1,0,"Kirschnerweg 5, 12353 Berlin, Germany",below_average
3965,163.0,district_heating,0,1,40.0,812.0,1984.0,110939702,1,1,649.0,71.43,modernized,2,1,apartment,3.0,7.0,4.0,0,Neu_Hohenschönhausen_Hohenschönhausen,81.0,0,"Falkenberger Chaussee 124, 13057 Berlin, Germany",below_average
3966,110.0,central_heating,0,1,40.0,970.0,1900.0,114948014,0,0,750.0,60.0,refurbished,3,0,apartment,2.0,2.0,3.0,0,Johannisthal_Treptow,110.0,0,"Winckelmannstraße 43, 12487 Berlin, Germany",below_average
3967,130.0,self_contained_central_heating,0,0,40.0,769.0,1900.0,112063166,0,0,639.0,60.0,modernized,3,0,ground_floor,2.0,0.0,6.0,0,Weißensee_Weißensee,0.0,0,"Schönstraße 51, 13086 Berlin, Germany",below_average
3968,599.0,central_heating,0,1,40.0,2199.0,1996.0,115439709,1,1,1600.0,157.0,first_time_use,2,1,apartment,3.0,6.0,6.0,0,Köpenick_Köpenick,105.4,1,"Lindenstraße 32C, 12555 Berlin, Germany",above_average
3969,162.0,district_heating,0,0,40.0,1480.0,1905.0,109463764,0,0,1200.0,98.0,fully_renovated,3,0,apartment,3.0,4.0,4.0,0,Neukölln_Neukölln,118.0,0,"Schierker Str. 24, 12051 Berlin, Germany",above_average
3970,183.0,central_heating,0,1,40.0,1810.0,1913.0,107181278,1,1,1457.0,133.0,well_kept,2,1,roof_storey,4.0,5.0,5.0,0,Schöneberg_Schöneberg,170.0,0,"Nymphenburger Straße 2, 10825 Berlin, Germany",above_average
