Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
238,270,district_heating,0,1,40,1190,1956,113815263,1,1,920,79.42,modernized,2,0,apartment,4,2,6,1,Biesdorf_Marzahn,125,0,"Oberfeldstr. 208, 12683 Berlin, Germany",Marzahn,East,Apartment,Renovated
2800,240,district_heating,0,1,10,1400,1956,113744991,1,1,1160,80,modernized,2,1,apartment,3.5,3,12,1,Schöneberg_Schöneberg,122.9,0,"Traegerstraße 1, 12159 Berlin, Germany",Schöneberg,Central,Apartment,Renovated
8312,114,central_heating,0,1,10,744,1956,104044796,0,0,630,47.37,modernized,3,0,apartment,2,2,6,0,Steglitz_Steglitz,24,0,"Berlinickestr. 15, 12165 Berlin, Germany",Steglitz,West,Apartment,Renovated
1992,92,central_heating,0,0,40,867,1956,114708075,0,0,728,46.96,first_time_use,2,0,roof_storey,2,1,1,0,Steglitz_Steglitz,47,0,"Klingsorstr. 93 A, 12167 Berlin, Germany",Steglitz,West,Roof Storey,New
8545,113,central_heating,0,0,40,1069,1956,114708084,0,0,898,57.94,first_time_use,2,0,roof_storey,2,0,4,0,Steglitz_Steglitz,58,0,"Klingsorstr. 93 A, 12167 Berlin, Germany",Steglitz,West,Roof Storey,New
7126,100,central_heating,0,0,40,947,1956,114708080,0,0,796,51.37,first_time_use,2,0,roof_storey,2,2,6,0,Steglitz_Steglitz,51,0,"Klingsorstr. 93 C, 12167 Berlin, Germany",Steglitz,West,Roof Storey,New
4001,146,central_heating,0,1,40,866,1956,111370373,1,1,720,43,first_time_use_after_refurbishment,2,0,ground_floor,1,5,6,1,Schöneberg_Schöneberg,35.1,0,"Münchenerstr. 28, 10825 Berlin, Germany",Schöneberg,Central,Ground Floor,New
7362,122,central_heating,0,0,40,996.5,1956,113842902,1,1,797.5,63.8,first_time_use,2,0,apartment,2,8,6,0,Tegel_Reinickendorf,77,0,"Ziekowstraße 114, 13509 Berlin, Germany",Reinickendorf,North,Apartment,New
7809,101,central_heating,0,0,2.4,675,1956,91657059,0,0,574,41.98,modernized,3,0,apartment,1,4,5,0,Steglitz_Steglitz,21,0,"Berlinickerstr. 16, 12165 Berlin, Germany",Steglitz,West,Apartment,Renovated
4459,60,central_heating,0,1,40,464,1956,68432457,0,0,344,48.61,first_time_use,2,0,apartment,2,2,3,0,Lichtenberg_Lichtenberg,60,0,"Heinrichstraße 28, 10317 Berlin, Germany",Lichtenberg,East,Apartment,New
2939,85,central_heating,0,1,40,790,1956,65609839,1,1,630,59.68,refurbished,2,0,apartment,3,4,4,0,Tiergarten_Tiergarten,75,0,"Lüneburger Str. 8, 10557 Berlin, Germany",Tiergarten,Central,Apartment,Renovated
