noRooms,totalRent,livingSpace,balcony
2.0,1080.0,66.08,True
2.0,800.0,58.4,True
4.0,2290.0,110.0,True
3.0,988.21,76.02,False
2.0,509.98,53.17,True
2.0,658.45,50.01,True
1.5,999.0,49.94,False
5.0,2280.0,143.0,False
3.0,1023.0,89.16,False
1.5,622.1,61.72,True
1.5,520.38,45.5,True
3.0,1181.72,95.79,False
5.0,1849.0,127.05,True
2.0,613.48,39.37,False
1.0,460.0,27.0,False
2.0,761.0,67.0,False
3.0,2415.65,135.71,True
2.0,680.0,49.43,False
2.5,1209.0,81.0,False
3.5,1329.07,78.0,True
4.0,1364.62,137.84,True
3.0,1270.0,88.33,False
2.0,480.0,53.0,False
3.0,1290.0,89.29,False
2.0,772.64,80.09,True
3.0,1773.71,85.07,True
3.0,1960.8,98.04,True
1.0,625.5,34.75,True
3.0,1415.87,91.23,True
4.0,1112.11,89.04,True
3.0,928.0,81.02,False
4.0,2222.0,120.0,True
2.0,1099.0,78.37,False
2.0,1650.0,69.0,False
3.0,1709.33,90.21,True
3.0,2500.0,84.0,True
3.0,1575.0,79.08,True
3.0,1600.0,96.35,True
1.0,595.0,36.93,True
3.0,1340.0,70.0,True
3.0,979.0,81.0,False
3.0,1002.49,104.39,True
3.0,1300.0,74.0,True
3.0,999.0,69.56,False
2.0,1150.0,48.0,True
2.0,720.0,57.0,True
1.0,720.0,36.45,False
5.0,1318.64,133.68,True
2.0,1480.0,75.95,True
2.0,839.0,69.0,True
1.0,569.03,42.15,True
1.0,1156.0,52.85,True
1.0,596.57,54.73,False
1.0,577.0,35.79,False
2.0,1049.0,74.61,True
2.0,963.75,64.25,True
5.5,1995.0,156.9,True
2.0,888.0,56.92,True
4.0,1550.0,102.51,True
2.0,789.0,58.93,False
1.0,435.0,36.0,True
2.0,1150.0,62.0,False
1.0,500.0,36.0,True
1.5,549.0,43.0,True
2.0,1016.0,81.82,True
4.0,2971.0,116.5,True
2.0,699.82,60.07,True
1.0,440.0,18.0,False
1.0,359.25,32.0,True
1.0,498.61,41.9,False
4.0,1980.0,112.0,False
2.0,630.0,55.0,False
4.0,2100.0,128.0,True
2.0,1870.2532261816891,80.0,True
2.0,1399.0,52.0,True
2.0,871.0,61.87,False
2.0,999.0,57.0,True
2.0,839.0,61.97,True
2.0,950.0,27.0,True
3.0,1731.27,81.35,True
1.5,645.0,42.91,True
4.0,2244.22,104.14,True
2.0,656.6,49.0,True
2.0,1276.0,59.15,True
4.0,1685.0,125.0,False
1.0,331.06,36.61,False
2.0,1328.0,54.0,True
5.0,2178.3199999999997,166.8,True
1.0,559.0,42.57,True
2.0,1015.0,70.88,False
1.5,685.25,50.0,True
1.0,765.0,50.03,True
2.0,581.13,52.48,True
3.0,1155.3798392725337,83.0,True
3.0,5000.0,230.0,True
3.0,728.74,68.0,False
1.0,437.66,41.0,True
2.0,1250.02,62.06,True
2.5,1529.0,71.0,True
4.0,1720.93,97.45,False
4.0,1859.0,145.0,True
3.0,1330.0,108.0,True
3.0,1135.0,81.0,True
2.5,1250.0,71.29,True
1.0,769.0,22.0,False
3.0,2400.0,170.0,True
2.0,1440.0,75.06,True
2.0,899.0,72.0,True
3.0,2294.3798392725334,80.0,True
3.0,2150.0,95.8,True
2.0,1224.4,78.0,False
4.0,2045.5,130.0,True
1.0,574.42,41.81,True
4.0,1598.0,118.0,True
3.0,1759.0,108.87,True
2.0,678.86,59.88,True
1.0,819.0,52.0,False
1.0,1019.0,75.89,False
2.0,847.0,65.0,True
1.0,541.0,19.5,False
1.5,1000.0,40.0,True
3.5,1380.0,85.0,True
2.0,2200.0,65.0,True
1.0,610.0,50.0,True
5.0,4350.0,264.0,True
3.0,2649.78,147.21,True
2.0,899.0,50.47,False
1.0,420.96,43.35,False
1.0,1300.0,38.36,False
2.0,798.95,59.95,False
2.0,899.01,62.32,True
2.0,736.0,67.35,True
1.0,425.0,22.1,False
4.0,2112.0,99.61,True
2.0,910.0,56.5,True
4.0,2499.0,200.65,True
3.0,1800.0,80.9,True
2.5,1400.0,90.0,True
3.0,748.11,66.73,True
2.0,983.9,61.42,True
2.0,690.0,47.25,True
1.0,790.0,20.0,False
2.0,739.9,54.85,True
3.0,1412.0,97.63,False
3.0,1619.0,114.0,True
2.0,947.0,68.52,True
6.0,4083.7596785450673,230.0,True
4.0,1981.0,121.99,True
3.0,1523.5,121.88,False
2.0,1083.0,56.0,True
1.5,655.0,55.2,False
2.0,882.94,53.99,False
3.0,1170.0,73.82,True
2.0,920.0,65.0,False
3.0,1015.83,65.18,True
3.0,1149.0,83.12,True
3.0,895.14,75.16,True
2.0,649.0,52.0,False
5.0,6800.0,280.0,True
3.0,1739.1,97.94,True
4.0,3200.0,229.8,True
3.0,2358.0,140.0,True
3.5,2230.0,130.0,False
3.0,883.0,62.0,True
4.0,3060.0,127.66,True
5.0,1710.0,152.0,True
3.0,1174.0,78.84,True
3.0,1855.3798392725337,98.0,True
1.0,290.08,32.63,False
1.0,484.79,32.7,True
3.0,1996.91,100.0,True
1.0,419.18,39.36,True
2.0,1039.86,92.0,False
4.0,4170.0,190.0,True
3.0,1194.0,63.0,True
1.0,999.0,30.98,False
1.0,444.45,43.0,True
2.0,1410.26,78.21,True
1.0,640.0,30.0,True
2.0,1130.0,75.0,False
3.0,1315.0,83.0,True
1.0,800.0,35.0,True
3.0,1917.13,99.85,True
3.0,706.9,70.28,True
2.0,633.26,58.5,True
1.0,354.25,32.5,False
4.0,1489.0,84.4,False
1.0,875.0,42.95,False
3.0,1600.0,110.0,False
3.0,1197.58,86.88,True
2.0,795.0,55.93,False
3.0,3400.0,98.0,True
3.0,1145.18,100.7,True
2.0,1390.0,60.18,True
1.0,345.0,32.0,False
1.0,467.21,29.46,True
4.0,1892.0,130.0,True
3.0,1635.0,73.0,True
1.0,515.0,44.5,True
3.0,1213.53,76.33,False
3.0,1869.46,89.0,True
2.0,845.0,70.0,False
3.0,1100.96,81.61,False
1.0,569.0,34.56,False
2.0,1072.62,79.45,True
2.5,912.18,84.0,True
1.0,484.22,33.86,True
3.0,2139.54,107.76,True
1.0,1046.0,31.0,True
4.0,2230.0,124.0,True
